MYRON_COMPANY_CODE,orderno,ORD_REV_GRS_BOOK_W_OV,DATE_ENTERED,MYRON_ACCT,CODE_ENTRY_INITIALS
MY,116617622,200,6/4/20,22801477,43099
MY,116679333,200,6/17/20,2392108,43456
MY,116692336,200,6/19/20,26149884,43456
MY,116765470,200.21,6/30/20,22552693,42434
MY,116624222,200.73,6/5/20,23091254,44015
MY,116638339,200.73,6/9/20,6191682,42882
MY,116663410,200.73,6/15/20,29139729,43932
MY,116665118,200.73,6/15/20,27460191,41247
MY,116665704,200.73,6/15/20,29146921,43932
MY,116708173,200.73,6/23/20,22412512,41247
MY,116731282,200.73,6/25/20,24455390,41225
MY,116746231,200.73,6/26/20,10596391,44020
MY,116780743,200.73,7/2/20,26310361,43984
MY,116659731,200.93,6/12/20,8392022,43305
MY,116730417,200.93,6/25/20,16349210,42882
MY,116735416,200.95,6/25/20,10895392,43554
MY,116738980,200.95,6/25/20,7708388,43988
MY,116646977,201.24,6/10/20,29138521,44011
MY,116670142,201.52,6/16/20,29162067,44010
MY,116755281,202.89,6/29/20,5534144,41258
MY,116758343,203.18,6/29/20,10918244,43856
MY,116607359,203.31,6/3/20,23167364,42882
MY,116656364,204.45,6/12/20,16238257,42708
MY,116656653,204.45,6/12/20,13946338,43558
MY,116666538,204.45,6/15/20,6672032,42708
MY,116738618,204.45,6/25/20,8628058,42848
MY,116748039,204.45,6/26/20,6940945,43932
MY,116769555,204.45,6/30/20,2071363,42421
MY,116764564,204.58,6/30/20,29139656,43942
MY,116696881,205.15,6/19/20,26543985,43453
MY,116682519,205.35,6/17/20,14146929,42613
MY,116652785,205.45,6/11/20,29137381,42495
MY,116735606,205.45,6/25/20,22502823,44010
MY,116663337,205.74,6/15/20,12709792,43858
MY,116718842,205.84,6/24/20,29139328,42542
MY,116628157,205.95,6/8/20,19154996,41100
MY,116754433,205.95,6/29/20,16253178,43558
MY,116650474,206.49,6/11/20,29169716,44017
MY,116653700,206.49,6/11/20,29163724,43945
MY,116609249,206.7,6/3/20,18652747,43985
MY,116618554,206.98,6/4/20,29167753,43988
MY,116629825,206.98,6/8/20,29168491,44015
MY,116658758,206.98,6/12/20,26409728,44012
MY,116663519,206.98,6/15/20,29170485,42980
MY,116685157,206.98,6/18/20,29164955,43988
MY,116743782,206.98,6/26/20,29168500,44026
MY,116726068,207.45,6/24/20,6213892,43591
MY,116607219,207.5,6/3/20,29161195,43942
MY,116614140,207.5,6/4/20,24599062,43942
MY,116616558,207.5,6/4/20,26217261,43858
MY,116651605,207.5,6/11/20,29160665,44013
MY,116652561,207.5,6/11/20,29121528,44027
MY,116688052,207.5,6/18/20,29177231,43988
MY,116666454,207.54,6/15/20,25859441,43858
MY,116672924,207.54,6/16/20,15483677,43453
MY,116685652,207.54,6/18/20,25042298,44024
MY,116699059,207.54,6/22/20,22575629,43942
MY,116714098,207.54,6/23/20,6948182,43671
MY,116721655,207.54,6/24/20,22464743,43578
MY,116723750,207.54,6/24/20,7464859,44020
MY,116643867,207.57,6/10/20,12993430,43518
MY,116644642,207.61,6/10/20,7090761,44022
MY,116755349,207.69,6/29/20,14364835,44020
MY,116782715,208.1,7/2/20,15157103,43820
MY,116660010,208.44,6/12/20,10653734,42434
MY,116712415,208.7,6/23/20,29157956,42882
MY,116620865,208.76,6/5/20,7486353,43591
MY,116773664,209.42,7/1/20,29148619,44512
MY,116720772,209.43,6/24/20,27130545,44011
MY,116649070,209.44,6/11/20,11141963,42848
MY,116651126,209.45,6/11/20,11180447,43194
MY,116646340,209.6,6/10/20,6678563,43671
MY,116610338,209.69,6/3/20,13219626,41100
MY,116673955,209.95,6/16/20,28574850,43305
MY,116682238,209.95,6/17/20,29140125,44019
MY,116746652,210.22,6/26/20,11182367,43099
MY,116724709,210.91,6/24/20,13518223,42078
MY,116691163,211.35,6/19/20,4533147,42848
MY,116661935,211.69,6/15/20,6582641,43430
MY,116746694,211.95,6/26/20,11182367,43099
MY,116606609,212.36,6/3/20,15827040,42613
MY,116626821,212.45,6/6/20,29150012,43578
MY,116614447,212.5,6/4/20,6649301,42155
MY,116638495,212.59,6/9/20,29148670,41147
MY,116638479,212.78,6/9/20,12086709,44010
MY,116643636,213.45,6/10/20,23730563,43453
MY,116643925,213.45,6/10/20,20479878,41247
MY,116692211,213.45,6/19/20,20767775,44018
MY,116709635,213.45,6/23/20,23186323,41132
MY,116720301,213.45,6/24/20,23517218,44018
MY,116736638,213.45,6/25/20,8755960,43456
MY,116737115,213.45,6/25/20,16701729,43453
MY,116745159,213.45,6/26/20,20567830,43937
