MYRON_COMPANY_CODE,MYRON_ACCT,ORDER,ORDER_WEEK,PS_WEEK,orders,bookings,CODE_ORDER_STATUS,DATE_PROMISED_SHIP,PRODUCT_PLATFORM,PRODUCT_PLATFORM_GROUP,YRSTRADED,OPENINGPLATFORM,SEGMENTSHORTDESC,STATUS,SHIPPING_STATE,PSD_TYPE,CODE_ORDER_STATUS2,paymentytype,rddesc,PROD_AVAIL_DATE_ISO,PROMISED_SHIP_DATE_ISO,NonDated_bookings,Non Dated Orders
MY,6544461,115561433,2,27,1,997.35,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,OH,Fu,PP,MC,MasterCard payment            ,5/12/20,7/1/20,,0
MY,6167132,115530404,1,27,1,992.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,UT,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6133593,115613655,2,27,1,992.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IA,Fu,PP,WI,WIRE PAYMENT                  ,5/12/20,7/1/20,,0
MY,6833427,115719056,3,27,1,992.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,OK,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6343571,115792640,4,27,1,990.42,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,18336494,115930620,6,27,1,988.7,PP,7/1/20,DTD01,DATED,8,Dated,Repeat,Active,AR,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,8227732,115936593,6,27,1,987.94,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,MN,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7418137,115791865,4,27,1,975.75,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,OK,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,6132350,115552119,1,27,1,975.55,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,IN,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,5837208,116303603,12,27,1,974.67,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,AL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7411139,115604274,2,27,1,967.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,AZ,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,5955588,116356817,14,27,1,967.45,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,PA,Fu,PP,MC,MasterCard payment            ,5/12/20,7/1/20,,0
MY,8343541,115546426,1,27,1,966.17,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,SC,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6471566,115657199,3,27,1,964.12,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IL,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,6628811,115862658,5,27,1,962.85,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,IA,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,7450383,115578130,2,27,1,962.85,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NC,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,9797518,115932253,6,27,1,962.7,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,KY,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,14287440,115615353,2,27,1,950.06,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,NY,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
MY,10072480,115625022,2,27,1,949.95,PP,7/1/20,DLOGS,DATED,9,Date Logs,Repeat,Active,MI,Fu,PP,VS,Visa payment                  ,5/12/20,7/1/20,,0
MY,7381130,115929028,6,27,1,949.2,PP,7/1/20,DTD01,DATED,9,Dated,Repeat,Active,MI,Fu,PP,FP,Full Payment                  ,5/12/20,7/1/20,,0
